Tid,Agder_Hovedalternativet (MMMM),Agder_Høy nasjonal vekst (HHMH),Agder_Lav nasjonal vekst (LLML),Akershus_Hovedalternativet (MMMM),Akershus_Høy nasjonal vekst (HHMH),Akershus_Lav nasjonal vekst (LLML),Buskerud_Hovedalternativet (MMMM),Buskerud_Høy nasjonal vekst (HHMH),Buskerud_Lav nasjonal vekst (LLML),Finnmark - Finnmárku - Finmarkku_Hovedalternativet (MMMM),Finnmark - Finnmárku - Finmarkku_Høy nasjonal vekst (HHMH),Finnmark - Finnmárku - Finmarkku_Lav nasjonal vekst (LLML),Innlandet_Hovedalternativet (MMMM),Innlandet_Høy nasjonal vekst (HHMH),Innlandet_Lav nasjonal vekst (LLML),Møre og Romsdal_Hovedalternativet (MMMM),Møre og Romsdal_Høy nasjonal vekst (HHMH),Møre og Romsdal_Lav nasjonal vekst (LLML),Nordland - Nordlánnda_Hovedalternativet (MMMM),Nordland - Nordlánnda_Høy nasjonal vekst (HHMH),Nordland - Nordlánnda_Lav nasjonal vekst (LLML),Oslo_Hovedalternativet (MMMM),Oslo_Høy nasjonal vekst (HHMH),Oslo_Lav nasjonal vekst (LLML),Rogaland_Hovedalternativet (MMMM),Rogaland_Høy nasjonal vekst (HHMH),Rogaland_Lav nasjonal vekst (LLML),Telemark_Hovedalternativet (MMMM),Telemark_Høy nasjonal vekst (HHMH),Telemark_Lav nasjonal vekst (LLML),Troms - Romsa - Tromssa_Hovedalternativet (MMMM),Troms - Romsa - Tromssa_Høy nasjonal vekst (HHMH),Troms - Romsa - Tromssa_Lav nasjonal vekst (LLML),Trøndelag - Trööndelage_Hovedalternativet (MMMM),Trøndelag - Trööndelage_Høy nasjonal vekst (HHMH),Trøndelag - Trööndelage_Lav nasjonal vekst (LLML),Vestfold_Hovedalternativet (MMMM),Vestfold_Høy nasjonal vekst (HHMH),Vestfold_Lav nasjonal vekst (LLML),Vestland_Hovedalternativet (MMMM),Vestland_Høy nasjonal vekst (HHMH),Vestland_Lav nasjonal vekst (LLML),Østfold_Hovedalternativet (MMMM),Østfold_Høy nasjonal vekst (HHMH),Østfold_Lav nasjonal vekst (LLML)
2024,319850,319850,319850,728803,728803,728803,269819,269819,269819,75053,75053,75053,376304,376304,376304,270624,270624,270624,243081,243081,243081,717710,717710,717710,499417,499417,499417,177093,177093,177093,169610,169610,169610,482956,482956,482956,256432,256432,256432,651299,651299,651299,312152,312152,312152
2025,323066,324165,321665,739687,742228,736416,272442,273467,271136,75792,76174,75306,378779,380119,377090,272336,273404,270976,244372,245465,242984,724267,727667,719859,504371,506337,501845,178335,178944,177568,170959,171733,169974,486989,488785,484680,258494,259273,257507,655221,657442,652371,314889,315767,313774
2026,325634,328248,322886,748674,754768,742227,274511,276935,271983,76268,77165,75344,380517,383658,377237,273432,275943,270823,245037,247584,242396,729702,737837,721216,508012,512670,503133,179228,180659,177727,171826,173641,169942,490125,494392,485630,260197,262057,258239,658117,663419,652522,317211,319318,314969
2027,327574,331511,323786,755812,765037,746931,276039,279661,272615,76487,77809,75266,381560,386252,377085,273954,277680,270438,245110,248866,241600,733663,745695,722551,510364,517299,503797,179776,181924,177720,172238,174921,169735,492377,498755,486275,261530,264356,258803,659936,667916,652288,319110,322339,315942
2028,329421,334279,324390,762495,773881,750645,277543,281954,273057,76650,78223,75091,382531,388288,376650,274433,278946,269857,245139,249648,240629,738165,752311,723872,512499,520869,503911,180267,182909,177553,172605,175818,169378,494664,502425,486656,262869,266384,259219,661833,671596,651706,321001,325066,316708
2029,331184,337088,324844,768818,782740,753788,279039,284353,273437,76763,78613,74854,383437,390392,376096,274884,280287,269206,245138,250476,239595,743228,759911,725608,514466,524507,503765,180702,183899,177305,172936,176750,168970,496996,506356,486986,264225,268531,259592,663824,675645,651094,322895,327933,317408
2030,332862,339965,325155,774793,791656,756389,280526,286867,273752,76821,78980,74560,384273,392557,375414,275302,281708,268473,245091,251359,238503,748745,768430,727683,516262,528218,503354,181070,184894,176962,173237,177720,168503,499343,510527,487240,265584,270800,259908,665860,680061,650404,324796,330943,318037
2031,334522,342971,325371,780787,801001,758806,282005,289501,274002,76879,79384,74257,385091,394870,374644,275728,283259,267701,245045,252340,237369,754140,777211,729548,518070,532195,502859,181434,185954,176581,173535,178772,168009,501644,514889,487351,266926,273170,260153,667900,684781,649595,326686,334089,318584
2032,336155,346090,325488,786760,810709,760988,283465,292235,274171,76939,79817,73942,385899,397305,373778,276151,284917,266873,244993,253407,236185,759379,786191,731147,519879,536398,502251,181785,187072,176150,173827,179887,167476,503873,519387,487288,268248,275621,260312,669917,689742,648626,328560,337348,319032
2033,337756,349197,325519,792692,820452,762981,284912,294978,274283,76999,80253,73619,386681,399744,372838,276569,286589,266000,244931,254467,234971,764432,794965,732512,521669,540615,501557,182125,188182,175683,174110,180997,166922,506024,523823,487076,269545,278073,260411,671883,694680,647520,330418,340615,319410
2034,339347,352286,325464,798577,830160,764754,286352,297712,274340,77056,80684,73287,387448,402164,371825,276978,288248,265079,244863,255519,233719,769345,803523,733656,523469,544809,500776,182457,189292,175176,174385,182092,166327,508098,528168,486710,270825,280513,260437,673809,699553,646270,332255,343872,319703
2035,340919,355349,325338,804403,839798,766311,287784,300437,274338,77115,81113,72944,388204,404562,370736,277385,289886,264104,244793,256553,232430,774120,811863,734580,525260,548976,499905,182785,190388,174636,174652,183167,165709,510109,532425,486197,272084,282931,260395,675688,704346,644866,334076,347104,319910
2036,342475,358387,325130,810193,849380,767662,289211,303148,274280,77171,81532,72592,388955,406950,369582,277779,291507,263079,244718,257584,231115,778733,819981,735235,527062,553123,498946,183108,191476,174062,174909,184226,165059,512065,536598,485542,273331,285333,260288,677534,709060,643312,335884,350320,320037
2037,343978,361383,324847,815831,858876,768793,290597,305839,274163,77212,81945,72226,389654,409305,368357,278132,293097,262000,244623,258583,229766,783035,827867,735595,528789,557228,497885,183410,192554,173456,175135,185258,164375,513900,540681,484750,274535,287706,260116,679247,713691,641607,337632,353501,320082
2038,345421,364383,324496,821324,868356,769744,291946,308530,274000,77245,82355,71854,390324,411682,367097,278437,294682,260875,244500,259598,228403,787042,835573,735674,530442,561341,496752,183692,193635,172826,175328,186286,163662,515623,544726,483842,275696,290082,259892,680843,718295,639772,339334,356686,320060
2039,346808,367372,324074,826669,877810,770493,293247,311225,273783,77260,82763,71467,390943,414069,365774,278703,296269,259702,244360,260630,227021,790768,843116,735471,532021,565455,495520,183954,194729,172171,175488,187307,162918,517247,548744,482819,276814,292459,259609,682322,722875,637811,340982,359872,319969
2040,348138,370317,323585,831871,887182,771066,294508,313894,273512,77270,83164,71071,391528,416436,364409,278931,297828,258485,244200,261644,225617,794224,850444,734987,533519,569524,494202,184198,195805,171492,175618,188306,162142,518772,552689,481691,277898,294815,259277,683693,727383,635723,342582,363025,319809
2041,349413,373244,323038,836930,896509,771467,295729,316545,273189,77267,83562,70661,392075,418799,363001,279120,299372,257232,244013,262660,224193,797428,857603,734240,534938,573559,492789,184423,196886,170797,175721,189293,161344,520209,556596,480470,278945,297163,258901,684957,731844,633518,344132,366168,319589
2042,350629,376143,322413,841853,905775,771688,296900,319189,272811,77252,83959,70244,392588,421161,361544,279276,300905,255932,243809,263671,222750,800393,864603,733219,536273,577553,491278,184636,197962,170075,175795,190270,160514,521558,560456,479133,279961,299505,258474,686109,736257,631184,345635,369291,319302
2043,351783,379020,321720,846617,914977,771738,298034,321817,272390,77230,84351,69819,393063,423527,360045,279403,302441,254606,243579,264685,221281,803125,871475,731919,537522,581522,489671,184827,199038,169334,175848,191237,159656,522823,564297,477700,280939,301842,258007,687166,740642,628728,347087,372401,318957
2044,352877,381855,320959,851217,924053,771645,299122,324421,271924,77198,84738,69386,393510,425872,358523,279491,303951,253256,243318,265675,219796,805650,878234,730365,538683,585432,487985,185003,200106,168582,175873,192191,158778,524004,568088,476176,281880,304151,257510,688120,744979,626181,348488,375471,318564
2045,353902,384668,320119,855624,933029,771365,300167,327017,271405,77155,85129,68939,393920,428243,356950,279552,305465,251877,243041,266669,218287,807975,884937,728516,539746,589312,486200,185162,201177,167809,175878,193150,157866,525106,571883,474530,282777,306446,256965,688980,749293,623497,349827,378523,318103
2046,354866,387458,319222,859820,941843,770938,301162,329591,270851,77103,85515,68485,394300,430609,355356,279581,306961,250481,242729,267660,216775,810115,891593,726416,540713,593141,484336,185303,202240,167031,175854,194096,156936,526136,575670,472804,283630,308712,256391,689742,753587,620727,351109,381541,317600
2047,355757,390206,318260,863790,950466,770329,302105,332137,270253,77043,85903,68026,394635,432958,353729,279577,308441,249062,242395,268636,215239,812104,898247,724067,541580,596907,482384,185428,203300,166240,175813,195046,155979,527083,579426,470971,284431,310946,255780,690397,757842,617842,352324,384512,317040
2048,356582,392913,317210,867508,958879,769469,302997,334652,269581,76975,86290,67551,394937,435304,352040,279533,309902,247605,242026,269598,213671,813941,904920,721414,542341,600613,480305,185532,204351,165423,175745,195991,154984,527955,583178,469015,285183,313144,255107,690964,762075,614813,353473,387443,316390
2049,357336,395593,316092,870971,967092,768403,303835,337147,268858,76897,86679,67071,395191,437652,350318,279456,311351,246122,241642,270562,212092,815635,911657,718494,542998,604274,478135,185619,205401,164592,175656,196944,153966,528744,586937,466961,285880,315313,254387,691427,766303,611675,354549,390338,315676
2050,358010,398213,314906,874159,975046,767098,304611,339596,268077,76810,87066,66578,395404,439961,348560,279339,312767,244617,241234,271511,210492,817225,918459,715323,543550,607858,475862,185686,206437,163743,175548,197891,152923,529458,590660,464821,286521,317431,253616,691788,770471,608440,355556,393170,314883
